Sr.no,carat,depth,table,clarity
1,0.73,64.6,60.0,4
2,0.73,66.9,54.0,0
3,0.5,66.5,58.0,4
4,0.7,64.5,57.0,4
5,1.01,65.3,59.0,2
6,0.7,64.9,59.0,0
7,0.7,64.3,62.0,0
8,1.0,64.8,59.0,2
9,0.58,65.8,56.0,0
10,0.9,64.6,58.0,4
11,1.01,64.5,59.0,4
12,0.7,67.6,54.0,6
13,1.03,65.3,59.0,3
14,1.01,66.8,61.0,4
15,1.19,64.9,58.0,2
16,2.0,65.7,60.0,2
17,3.02,65.2,56.0,0
18,0.7,70.8,56.0,0
19,0.96,67.3,56.0,2
20,1.5,65.8,57.0,3
21,1.0,66.1,59.0,3
22,0.3,66.6,54.0,7
23,0.73,64.7,56.0,3
24,1.01,64.7,54.0,4
25,0.7,64.5,60.0,3
26,1.5,64.7,55.0,3
27,0.51,65.5,51.0,5
28,2.0,69.8,54.0,0
29,1.0,67.6,57.0,5
30,1.52,65.4,62.0,0
31,1.58,64.7,58.0,2
32,0.7,66.0,53.0,2
33,0.98,68.0,63.0,0
34,1.0,64.8,62.0,5
35,1.5,69.6,62.0,3
36,0.5,66.9,57.0,5
37,1.02,65.3,59.0,3
38,1.5,64.3,58.0,2
39,2.0,65.9,60.0,2
40,1.01,65.3,57.0,2
41,1.21,64.5,56.0,5
42,2.0,65.2,56.0,5
43,3.11,65.9,57.0,0
44,1.01,68.5,63.0,3
45,0.85,66.7,59.0,0
46,0.9,64.4,53.0,5
47,0.9,65.5,59.0,2
48,1.0,68.9,56.0,2
49,0.98,66.6,56.0,3
50,2.03,64.9,59.0,3
51,0.71,65.4,59.0,4
52,1.01,64.4,59.0,2
53,1.0,64.9,59.0,2
54,1.01,65.1,57.0,2
55,0.29,64.7,62.0,5
56,1.01,65.5,62.0,5
57,1.08,65.1,54.0,5
58,0.7,66.5,62.0,0
59,1.0,64.9,58.0,2
60,0.7,66.5,55.0,2
61,1.59,65.2,58.0,3
62,2.31,67.4,56.0,0
63,0.51,65.2,55.0,2
64,0.5,65.2,57.0,3
65,1.01,65.5,57.0,2
66,1.05,64.8,55.0,3
67,2.0,69.1,56.0,3
68,1.35,66.0,58.0,3
69,1.52,65.4,58.0,4
70,1.0,67.8,53.0,3
71,0.7,65.9,59.0,2
72,0.5,66.3,55.0,5
73,0.73,64.4,59.0,7
74,0.7,65.2,59.0,5
75,1.03,65.5,58.0,2
76,2.22,70.1,55.0,0
77,0.8,67.1,56.0,3
78,0.74,65.4,53.0,7
79,2.0,65.1,57.0,3
80,0.81,65.7,57.0,3
81,0.96,69.7,59.0,2
82,1.01,64.4,58.0,5
83,1.51,65.3,62.0,2
84,0.9,64.7,59.0,3
85,1.21,65.0,59.0,2
86,0.7,67.3,59.0,0
87,1.22,64.7,61.0,3
88,1.01,66.0,57.0,2
89,0.63,65.7,60.0,5
90,2.01,65.9,57.0,3
91,1.5,71.3,58.0,0
92,1.0,69.0,56.0,3
93,0.7,66.4,56.0,3
94,1.45,64.4,58.0,3
95,1.52,64.7,58.0,3
96,1.0,64.9,56.0,5
97,2.0,66.3,54.0,4
98,1.5,65.5,53.0,3
99,0.7,64.4,58.0,3
100,1.0,65.1,55.0,3
101,0.71,64.4,56.0,5
102,0.59,64.4,59.0,4
103,1.12,64.6,57.0,3
104,0.7,65.0,56.0,2
105,3.65,67.1,53.0,0
106,2.01,65.9,57.0,3
107,1.41,64.7,58.0,0
108,0.5,64.9,57.0,4
109,1.0,64.6,59.0,4
110,0.99,68.1,56.0,3
111,0.7,64.9,57.0,5
112,1.01,66.0,56.0,7
113,1.51,65.7,61.0,0
114,0.7,67.5,55.0,0
115,1.9,67.1,64.0,3
116,0.71,64.8,63.0,3
117,1.0,65.4,57.0,0
118,0.51,65.4,60.0,7
119,0.7,65.3,54.0,2
120,1.2,65.2,58.0,2
121,0.96,64.3,59.0,0
122,1.64,64.5,60.0,0
123,1.01,65.3,55.0,3
124,3.01,65.8,56.0,3
125,1.47,65.9,59.0,3
126,1.0,66.9,55.0,7
127,2.01,64.4,61.0,2
128,0.5,66.5,60.0,4
129,2.02,65.6,57.0,0
130,0.9,64.4,59.0,3
131,1.01,65.2,52.0,5
132,0.58,65.1,58.0,3
133,1.02,64.6,61.0,5
134,1.52,67.7,58.0,0
135,0.9,65.2,61.0,5
136,1.0,64.7,60.0,2
137,0.7,65.7,55.0,5
138,1.47,66.7,59.0,0
139,0.74,65.2,58.0,7
140,0.7,64.9,59.0,4
141,0.71,64.6,59.0,5
142,1.56,64.6,62.0,2
143,0.6,64.5,56.0,2
144,0.51,66.5,58.0,3
145,2.14,69.4,57.0,0
146,0.6,66.5,56.0,3
147,0.48,64.9,54.0,5
148,0.9,65.3,61.0,2
149,0.9,66.9,63.0,0
150,0.62,65.4,59.0,2
151,0.9,64.5,55.0,3
152,0.9,69.0,59.0,3
153,0.7,68.3,56.0,0
154,0.41,64.5,57.0,7
155,2.52,63.7,59.0,3
156,0.7,63.4,61.0,2
157,1.01,63.1,57.0,0
158,1.23,63.7,58.0,0
159,1.01,63.6,60.0,2
160,1.0,63.5,59.0,5
161,0.41,63.2,58.0,2
162,0.51,63.1,64.0,2
163,1.01,63.2,59.0,2
164,0.7,63.5,59.0,2
165,0.4,63.4,59.0,3
166,1.21,63.6,58.0,2
167,1.0,63.7,60.0,4
168,1.21,64.0,62.0,3
169,1.05,63.6,59.0,3
170,0.9,63.1,63.0,2
171,1.01,63.7,59.0,3
172,1.02,63.2,58.0,5
173,1.41,63.8,60.0,5
174,1.5,63.8,58.0,4
175,1.04,64.0,60.0,3
176,1.0,63.6,61.0,5
177,0.9,63.1,58.0,3
178,0.91,63.9,60.0,2
179,0.3,63.4,58.0,2
180,0.36,63.1,58.0,2
181,1.72,63.4,62.0,3
182,1.0,63.6,58.0,5
183,0.52,63.6,62.0,2
184,0.83,63.8,58.0,2
185,0.5,63.5,58.0,3
186,0.49,63.6,59.0,4
187,0.5,63.2,61.0,3
188,1.05,63.7,59.0,3
189,0.78,63.9,64.0,2
190,0.39,63.6,60.2,7
191,1.0,63.9,60.0,3
192,1.01,63.8,59.0,4
193,1.5,64.0,56.0,0
194,1.01,64.0,58.0,2
195,1.2,63.7,58.0,5
196,0.9,63.8,58.0,3
197,0.9,63.7,61.0,5
198,1.01,64.0,59.0,3
199,1.02,63.5,61.0,2
200,1.52,64.0,58.0,2
201,0.9,63.4,59.0,3
202,0.9,63.6,59.0,2
203,1.5,64.0,61.0,0
204,0.5,63.4,59.0,3
205,0.9,63.6,58.0,5
206,0.7,63.2,58.0,6
207,0.91,64.2,58.0,5
208,1.1,63.7,60.0,4
209,1.21,63.7,64.0,3
210,0.9,64.2,58.0,2
211,1.14,63.7,56.0,0
212,0.7,63.6,62.0,7
213,1.01,63.8,60.0,2
214,1.14,63.4,58.0,4
215,0.73,63.7,58.0,5
216,1.18,64.2,62.0,2
217,1.01,63.8,60.0,2
218,0.31,63.1,58.0,5
219,1.5,63.6,58.0,5
220,1.2,63.7,58.0,5
221,0.7,63.3,58.0,3
222,0.72,63.9,58.0,2
223,1.51,63.6,61.0,2
224,0.6,62.5,55.0,6
225,0.32,61.7,55.0,3
226,0.3,62.3,56.0,2
227,0.71,60.4,56.0,3
228,1.32,62.1,55.0,6
229,0.71,60.5,56.0,2
230,1.0,62.4,57.0,3
231,2.15,60.9,56.0,2
232,0.33,60.9,56.0,4
233,0.34,61.7,55.0,1
234,0.31,60.8,57.0,5
235,0.3,61.6,54.0,4
236,0.3,60.0,56.0,4
237,0.91,61.7,57.0,7
238,0.31,62.4,57.0,2
239,0.3,61.1,55.0,3
240,1.2,61.9,57.0,5
241,0.53,60.8,55.0,5
242,1.21,60.7,56.0,3
243,0.31,62.0,56.0,2
244,0.33,60.6,55.0,5
245,1.51,62.9,57.0,3
246,0.3,61.5,55.0,5
247,0.34,61.1,57.0,7
248,0.33,61.9,55.0,5
249,0.35,61.6,55.1,4
250,0.8,62.4,56.0,4
251,0.41,62.2,55.0,4
252,0.43,61.5,57.0,2
253,0.34,61.3,56.0,4
254,0.5,61.6,57.0,3
255,1.28,62.2,56.0,2
256,0.64,61.0,56.0,7
257,1.11,62.7,57.0,3
258,0.93,62.0,56.0,2
259,0.38,61.0,55.0,2
260,0.56,62.7,55.0,5
261,0.41,62.6,57.0,1
262,0.3,61.4,57.0,2
263,0.63,60.9,57.0,1
264,1.12,60.9,57.0,4
265,0.3,62.2,57.0,6
266,1.53,60.6,54.0,4
267,0.33,62.6,57.0,5
268,0.72,61.1,57.0,4
269,0.71,61.3,57.0,2
270,1.01,61.6,56.0,5
271,0.31,61.9,55.0,6
272,0.7,61.2,55.0,2
273,1.03,62.4,57.0,2
274,0.37,61.4,55.0,1
275,0.32,61.6,55.0,7
276,2.05,61.9,57.0,2
277,0.3,62.3,54.0,5
278,1.21,61.2,57.0,5
279,1.01,61.7,57.0,3
280,0.32,61.7,56.0,6
281,0.73,62.1,55.8,4
282,0.54,61.7,57.0,6
283,0.59,61.4,56.0,2
284,0.71,61.2,56.0,1
285,0.25,61.9,55.0,7
286,0.76,60.5,56.0,4
287,1.01,61.5,57.0,4
288,1.04,61.1,56.0,3
289,0.32,62.2,55.0,5
290,0.29,62.1,54.0,2
291,0.77,62.1,56.0,3
292,1.11,61.7,57.0,3
293,0.42,61.7,55.0,6
294,0.5,61.6,57.0,7
295,1.55,62.1,56.0,6
296,0.3,61.9,57.0,2
297,0.51,60.2,56.0,4
298,0.55,61.9,56.0,4
299,0.31,61.7,55.0,5
300,0.7,61.1,56.0,4
301,0.56,61.8,56.0,6
302,0.33,61.0,54.0,7
303,2.01,62.9,54.0,4
304,1.56,61.8,57.0,2
305,0.32,60.9,57.0,2
306,0.32,62.2,55.0,6
307,0.38,61.5,57.0,7
308,0.7,62.1,56.0,2
309,0.25,61.2,57.0,6
310,1.13,61.7,57.0,5
311,1.0,61.5,55.0,7
312,1.2,61.1,57.0,3
313,0.33,62.1,57.0,5
314,0.54,62.2,56.0,4
315,1.28,62.7,53.0,4
316,0.41,62.4,55.0,2
317,0.72,62.0,56.0,6
318,0.82,62.4,56.0,2
319,1.01,62.8,57.0,1
320,0.34,61.5,56.0,6
321,0.6,61.6,56.0,4
322,0.39,61.9,54.0,1
323,0.35,62.0,55.0,5
324,1.57,62.0,56.0,2
325,0.44,60.9,57.0,7
326,0.26,62.1,54.0,4
327,1.02,61.3,57.0,6
328,1.19,61.5,55.0,6
329,1.27,61.6,56.1,5
330,0.38,62.6,56.0,6
331,0.31,62.2,53.0,7
332,1.2,62.9,55.0,7
333,0.38,61.3,54.0,3
334,0.59,62.9,56.0,5
335,0.3,62.9,57.0,2
336,0.59,62.2,56.0,7
337,0.32,61.4,56.0,3
338,1.03,61.5,57.0,4
339,0.32,62.5,55.0,2
340,0.5,62.7,57.0,4
341,0.31,62.8,57.0,7
342,1.14,61.4,57.0,4
343,1.04,60.5,57.0,5
344,0.4,62.1,55.0,2
345,0.72,62.6,56.0,7
346,0.4,62.3,57.0,4
347,0.7,63.1,54.0,3
348,0.74,62.3,56.0,4
349,0.31,62.8,57.0,4
350,0.31,62.1,55.0,6
351,0.31,62.7,57.0,2
352,1.54,61.2,56.0,4
353,0.31,61.1,54.0,4
354,0.39,60.5,56.0,2
355,1.6,62.8,56.0,3
356,0.31,61.4,56.0,5
357,0.79,61.4,56.0,2
358,0.31,61.2,56.0,6
359,0.3,62.5,54.0,1
360,0.4,61.3,56.0,6
361,0.56,61.5,57.0,5
362,1.09,62.4,55.0,5
363,1.54,62.0,57.0,4
364,1.39,61.5,55.0,5
365,0.51,62.4,55.0,1
366,0.4,61.6,56.0,4
367,0.31,61.1,56.0,6
368,0.36,61.7,56.0,1
369,0.33,61.9,55.0,6
370,1.01,61.2,57.0,3
371,0.38,62.4,53.2,6
372,0.32,61.5,54.0,2
373,0.51,61.6,56.0,5
374,0.33,61.6,53.0,1
375,1.11,62.1,55.0,6
376,0.56,61.8,54.0,2
377,0.4,62.2,55.0,2
378,1.01,61.0,57.0,7
379,0.3,62.3,52.8,1
380,0.53,61.6,55.0,4
381,0.97,61.7,56.0,2
382,0.33,60.7,57.0,5
383,1.2,62.2,55.0,5
384,1.0,62.7,57.0,2
385,0.73,62.3,56.0,4
386,0.55,62.4,55.0,7
387,1.02,62.2,56.0,2
388,1.31,62.3,56.0,3
389,0.55,62.1,55.0,2
390,0.91,62.3,56.0,2
391,0.42,62.4,55.0,5
392,0.31,61.7,56.0,4
393,0.54,61.8,54.0,3
394,0.9,61.5,56.0,3
395,1.02,60.7,57.0,3
396,0.4,61.3,55.0,4
397,0.43,62.0,57.0,6
398,0.32,62.0,55.0,7
399,1.61,62.2,56.0,5
400,2.3,61.6,56.0,3
401,0.34,62.3,57.0,2
402,0.41,61.6,54.0,4
403,1.2,61.7,56.0,4
404,0.5,61.4,55.0,5
405,1.6,61.7,56.0,3
406,0.53,60.8,56.0,2
407,1.22,61.5,56.0,4
408,0.85,63.0,56.0,2
409,1.02,61.6,55.0,3
410,0.8,62.0,57.0,2
411,1.01,62.7,57.0,3
412,1.25,62.5,56.0,5
413,1.14,61.7,53.0,4
414,0.5,62.9,57.0,3
415,0.9,61.1,56.0,2
416,1.07,62.8,54.0,7
417,0.36,60.0,56.0,5
418,2.0,62.4,55.0,5
419,1.65,60.4,60.0,2
420,1.53,62.7,60.0,3
421,1.21,62.7,59.0,3
422,0.32,60.1,61.0,5
423,0.82,61.1,60.0,2
424,0.57,59.8,59.0,5
425,0.51,60.5,59.0,2
426,0.51,62.2,58.0,2
427,1.13,61.4,59.0,3
428,1.37,60.9,59.0,5
429,0.34,62.6,59.0,5
430,2.02,60.8,62.0,5
431,1.38,60.2,60.0,3
432,0.76,60.1,59.0,5
433,0.37,58.4,59.0,4
434,2.04,60.3,60.0,3
435,1.5,58.9,60.0,3
436,1.3,59.9,59.0,2
437,1.0,62.5,59.0,3
438,0.77,61.9,59.0,3
439,0.33,62.3,59.0,2
440,0.52,61.7,58.0,4
441,1.62,61.7,59.0,4
442,1.0,60.1,61.0,2
443,0.38,61.3,59.0,2
444,0.71,61.4,58.0,2
445,0.55,60.3,62.0,5
446,2.8,61.1,59.0,3
447,0.32,59.9,58.0,7
448,0.5,61.3,59.0,5
449,2.01,61.6,58.0,3
450,1.54,59.3,59.0,5
451,0.41,62.4,58.0,5
452,0.5,61.4,59.0,5
453,0.5,62.3,58.0,2
454,0.32,60.2,60.0,7
455,0.73,61.7,58.0,2
456,0.69,61.0,60.0,5
457,1.21,60.3,60.0,5
458,0.95,62.8,59.0,2
459,0.93,62.3,58.0,2
460,0.3,61.1,61.0,6
461,1.53,62.9,59.0,2
462,0.38,60.9,60.0,5
463,0.33,60.1,59.0,2
464,1.04,61.0,58.0,2
465,0.33,61.0,59.0,7
466,0.7,62.1,59.0,2
467,0.33,61.0,58.0,7
468,2.01,61.5,62.0,4
469,1.01,58.5,59.0,7
470,0.41,60.2,59.0,4
471,1.25,62.0,59.0,5
472,0.72,59.1,61.0,3
473,0.5,61.8,58.0,5
474,1.33,61.5,58.0,4
475,1.01,61.6,59.0,5
476,0.32,62.3,60.0,5
477,0.95,62.6,59.0,7
478,1.51,62.8,60.0,3
479,1.01,59.2,60.0,2
480,0.31,61.5,59.0,2
481,0.41,62.8,59.0,2
482,0.7,61.9,60.0,2
483,0.7,60.5,58.0,2
484,0.31,62.1,59.0,6
485,1.0,62.3,59.0,2
486,1.57,60.9,58.0,3
487,1.64,62.8,59.0,2
488,1.0,61.2,58.0,2
489,1.71,61.3,58.0,5
490,1.09,59.4,60.0,3
491,1.05,58.9,58.0,3
492,0.31,60.8,58.0,5
493,1.12,62.4,58.0,3
494,1.24,61.6,59.0,2
495,1.16,60.5,59.0,5
496,0.7,61.7,60.0,4
497,1.01,59.1,58.0,5
498,1.19,62.7,61.0,2
499,0.75,61.9,61.0,4
500,0.71,61.3,58.0,2
501,0.92,62.2,58.0,2
502,1.02,61.9,58.0,4
503,0.32,62.3,58.0,4
504,1.51,60.9,58.0,7
505,0.31,61.5,58.0,7
506,0.34,59.9,59.0,3
507,1.2,59.6,58.0,5
508,0.36,61.5,58.0,3
509,1.11,61.8,59.0,0
510,1.14,62.6,58.0,3
511,0.6,62.0,59.0,3
512,0.31,59.9,59.0,4
513,0.72,62.8,58.0,6
514,2.01,59.4,62.0,3
515,0.3,62.2,58.0,2
516,1.13,58.3,60.0,3
517,0.9,62.7,60.0,4
518,0.31,60.5,60.0,2
519,0.43,62.3,59.0,2
520,1.24,62.2,58.0,3
521,1.21,61.0,58.0,5
522,0.43,61.0,60.0,3
523,2.38,60.6,59.0,3
524,1.23,58.5,59.0,7
525,0.32,62.6,58.0,2
526,0.43,59.9,58.0,4
527,0.31,61.1,59.0,4
528,0.37,63.0,58.0,5
529,0.3,62.6,58.0,5
530,0.28,61.3,60.0,6
531,2.75,60.5,61.0,3
532,1.6,62.1,60.0,2
533,0.31,60.6,59.0,6
534,0.73,60.0,58.0,4
535,0.42,59.9,61.0,4
536,1.22,61.2,58.0,5
537,1.22,62.6,58.0,2
538,1.53,60.7,60.0,3
539,0.31,60.6,60.0,7
540,1.28,60.8,60.0,4
541,2.05,60.0,58.0,3
542,0.71,62.4,58.0,4
543,1.52,60.4,59.0,2
544,1.71,61.4,60.0,5
545,1.3,62.5,58.0,4
546,2.01,60.1,59.0,2
547,0.31,61.3,59.0,5
548,1.01,62.5,62.0,3
549,0.33,62.2,59.0,2
550,0.54,58.8,61.0,1
551,0.32,61.0,61.0,5
552,0.31,61.2,59.0,6
553,0.9,58.0,61.0,5
554,0.7,58.4,61.0,3
555,1.32,60.9,59.0,5
556,0.53,60.0,58.0,2
557,0.94,62.5,58.0,5
558,0.3,60.0,60.0,2
559,0.41,61.0,59.0,7
560,1.01,59.8,58.0,0
561,0.56,60.8,60.0,2
562,1.0,59.9,60.0,7
563,0.95,58.8,60.0,3
564,0.42,62.7,59.0,2
565,0.32,61.7,58.0,4
566,0.33,60.1,58.0,6
567,1.01,62.7,59.0,2
568,0.31,62.4,58.0,4
569,0.9,59.5,58.0,5
570,0.51,61.5,58.0,5
571,0.31,62.3,59.0,4
572,0.92,59.4,60.0,3
573,2.38,60.9,59.0,4
574,1.13,58.6,59.0,4
575,0.31,60.7,61.0,5
576,0.4,60.9,60.0,2
577,1.5,59.2,62.0,2
578,0.36,61.4,58.0,2
579,0.31,60.3,59.0,3
580,0.5,62.4,58.0,2
581,0.36,61.1,59.0,2
582,0.32,61.6,58.0,1
583,0.72,60.7,60.0,7
584,2.06,61.0,61.0,3
585,0.81,60.8,59.0,2
586,1.11,61.5,58.0,3
587,2.33,59.9,59.0,2
588,1.27,60.9,59.0,2
589,0.31,59.5,59.0,4
590,1.5,62.6,59.0,3
591,0.91,62.2,60.0,2
592,0.34,59.3,60.0,2
593,1.02,62.0,59.0,3
594,0.77,60.8,59.0,2
595,1.15,62.6,58.0,2
596,2.1,61.3,58.0,6
597,0.57,60.7,59.0,3
598,1.5,60.6,61.0,5
599,1.53,61.3,59.0,2
