Sr.no,carat,depth,table,clarity,cut
1,0.73,64.6,60,4,Fair
2,0.73,66.9,54,0,Fair
3,0.5,66.5,58,4,Fair
4,0.7,64.5,57,4,Fair
5,1.01,65.3,59,2,Fair
6,0.7,64.9,59,0,Fair
7,0.7,64.3,62,0,Fair
8,1,64.8,59,2,Fair
9,0.58,65.8,56,0,Fair
10,0.9,64.6,58,4,Fair
11,1.01,64.5,59,4,Fair
12,0.7,67.6,54,6,Fair
13,1.03,65.3,59,3,Fair
14,1.01,66.8,61,4,Fair
15,1.19,64.9,58,2,Fair
16,2,65.7,60,2,Fair
17,3.02,65.2,56,0,Fair
18,0.7,70.8,56,0,Fair
19,0.96,67.3,56,2,Fair
20,1.5,65.8,57,3,Fair
21,1,66.1,59,3,Fair
22,0.3,66.6,54,7,Fair
23,0.73,64.7,56,3,Fair
24,1.01,64.7,54,4,Fair
25,0.7,64.5,60,3,Fair
26,1.5,64.7,55,3,Fair
27,0.51,65.5,51,5,Fair
28,2,69.8,54,0,Fair
29,1,67.6,57,5,Fair
30,1.52,65.4,62,0,Fair
31,1.58,64.7,58,2,Fair
32,0.7,66,53,2,Fair
33,0.98,68,63,0,Fair
34,1,64.8,62,5,Fair
35,1.5,69.6,62,3,Fair
36,0.5,66.9,57,5,Fair
37,1.02,65.3,59,3,Fair
38,1.5,64.3,58,2,Fair
39,2,65.9,60,2,Fair
40,1.01,65.3,57,2,Fair
41,1.21,64.5,56,5,Fair
42,2,65.2,56,5,Fair
43,3.11,65.9,57,0,Fair
44,1.01,68.5,63,3,Fair
45,0.85,66.7,59,0,Fair
46,0.9,64.4,53,5,Fair
47,0.9,65.5,59,2,Fair
48,1,68.9,56,2,Fair
49,0.98,66.6,56,3,Fair
50,2.03,64.9,59,3,Fair
51,0.71,65.4,59,4,Fair
52,1.01,64.4,59,2,Fair
53,1,64.9,59,2,Fair
54,1.01,65.1,57,2,Fair
55,0.29,64.7,62,5,Fair
56,1.01,65.5,62,5,Fair
57,1.08,65.1,54,5,Fair
58,0.7,66.5,62,0,Fair
59,1,64.9,58,2,Fair
60,0.7,66.5,55,2,Fair
61,1.59,65.2,58,3,Fair
62,2.31,67.4,56,0,Fair
63,0.51,65.2,55,2,Fair
64,0.5,65.2,57,3,Fair
65,1.01,65.5,57,2,Fair
66,1.05,64.8,55,3,Fair
67,2,69.1,56,3,Fair
68,1.35,66,58,3,Fair
69,1.52,65.4,58,4,Fair
70,1,67.8,53,3,Fair
71,0.7,65.9,59,2,Fair
72,0.5,66.3,55,5,Fair
73,0.73,64.4,59,7,Fair
74,0.7,65.2,59,5,Fair
75,1.03,65.5,58,2,Fair
76,2.22,70.1,55,0,Fair
77,0.8,67.1,56,3,Fair
78,0.74,65.4,53,7,Fair
79,2,65.1,57,3,Fair
80,0.81,65.7,57,3,Fair
81,0.96,69.7,59,2,Fair
82,1.01,64.4,58,5,Fair
83,1.51,65.3,62,2,Fair
84,0.9,64.7,59,3,Fair
85,1.21,65,59,2,Fair
86,0.7,67.3,59,0,Fair
87,1.22,64.7,61,3,Fair
88,1.01,66,57,2,Fair
89,0.63,65.7,60,5,Fair
90,2.01,65.9,57,3,Fair
91,1.5,71.3,58,0,Fair
92,1,69,56,3,Fair
93,0.7,66.4,56,3,Fair
94,1.45,64.4,58,3,Fair
95,1.52,64.7,58,3,Fair
96,1,64.9,56,5,Fair
97,2,66.3,54,4,Fair
98,1.5,65.5,53,3,Fair
99,0.7,64.4,58,3,Fair
100,1,65.1,55,3,Fair
101,0.71,64.4,56,5,Fair
102,0.59,64.4,59,4,Fair
103,1.12,64.6,57,3,Fair
104,0.7,65,56,2,Fair
105,3.65,67.1,53,0,Fair
106,2.01,65.9,57,3,Fair
107,1.41,64.7,58,0,Fair
108,0.5,64.9,57,4,Fair
109,1,64.6,59,4,Fair
110,0.99,68.1,56,3,Fair
111,0.7,64.9,57,5,Fair
112,1.01,66,56,7,Fair
113,1.51,65.7,61,0,Fair
114,0.7,67.5,55,0,Fair
115,1.9,67.1,64,3,Fair
116,0.71,64.8,63,3,Fair
117,1,65.4,57,0,Fair
118,0.51,65.4,60,7,Fair
119,0.7,65.3,54,2,Fair
120,1.2,65.2,58,2,Fair
121,0.96,64.3,59,0,Fair
122,1.64,64.5,60,0,Fair
123,1.01,65.3,55,3,Fair
124,3.01,65.8,56,3,Fair
125,1.47,65.9,59,3,Fair
126,1,66.9,55,7,Fair
127,2.01,64.4,61,2,Fair
128,0.5,66.5,60,4,Fair
129,2.02,65.6,57,0,Fair
130,0.9,64.4,59,3,Fair
131,1.01,65.2,52,5,Fair
132,0.58,65.1,58,3,Fair
133,1.02,64.6,61,5,Fair
134,1.52,67.7,58,0,Fair
135,0.9,65.2,61,5,Fair
136,1,64.7,60,2,Fair
137,0.7,65.7,55,5,Fair
138,1.47,66.7,59,0,Fair
139,0.74,65.2,58,7,Fair
140,0.7,64.9,59,4,Fair
141,0.71,64.6,59,5,Fair
142,1.56,64.6,62,2,Fair
143,0.6,64.5,56,2,Fair
144,0.51,66.5,58,3,Fair
145,2.14,69.4,57,0,Fair
146,0.6,66.5,56,3,Fair
147,0.48,64.9,54,5,Fair
148,0.9,65.3,61,2,Fair
149,0.9,66.9,63,0,Fair
150,0.62,65.4,59,2,Fair
151,0.9,64.5,55,3,Fair
152,0.9,69,59,3,Fair
153,0.7,68.3,56,0,Fair
154,0.41,64.5,57,7,Fair
155,2.52,63.7,59,3,Good
156,0.7,63.4,61,2,Good
157,1.01,63.1,57,0,Good
158,1.23,63.7,58,0,Good
159,1.01,63.6,60,2,Good
160,1,63.5,59,5,Good
161,0.41,63.2,58,2,Good
162,0.51,63.1,64,2,Good
163,1.01,63.2,59,2,Good
164,0.7,63.5,59,2,Good
165,0.4,63.4,59,3,Good
166,1.21,63.6,58,2,Good
167,1,63.7,60,4,Good
168,1.21,64,62,3,Good
169,1.05,63.6,59,3,Good
170,0.9,63.1,63,2,Good
171,1.01,63.7,59,3,Good
172,1.02,63.2,58,5,Good
173,1.41,63.8,60,5,Good
174,1.5,63.8,58,4,Good
175,1.04,64,60,3,Good
176,1,63.6,61,5,Good
177,0.9,63.1,58,3,Good
178,0.91,63.9,60,2,Good
179,0.3,63.4,58,2,Good
180,0.36,63.1,58,2,Good
181,1.72,63.4,62,3,Good
182,1,63.6,58,5,Good
183,0.52,63.6,62,2,Good
184,0.83,63.8,58,2,Good
185,0.5,63.5,58,3,Good
186,0.49,63.6,59,4,Good
187,0.5,63.2,61,3,Good
188,1.05,63.7,59,3,Good
189,0.78,63.9,64,2,Good
190,0.39,63.6,60.2,7,Good
191,1,63.9,60,3,Good
192,1.01,63.8,59,4,Good
193,1.5,64,56,0,Good
194,1.01,64,58,2,Good
195,1.2,63.7,58,5,Good
196,0.9,63.8,58,3,Good
197,0.9,63.7,61,5,Good
198,1.01,64,59,3,Good
199,1.02,63.5,61,2,Good
200,1.52,64,58,2,Good
201,0.9,63.4,59,3,Good
202,0.9,63.6,59,2,Good
203,1.5,64,61,0,Good
204,0.5,63.4,59,3,Good
205,0.9,63.6,58,5,Good
206,0.7,63.2,58,6,Good
207,0.91,64.2,58,5,Good
208,1.1,63.7,60,4,Good
209,1.21,63.7,64,3,Good
210,0.9,64.2,58,2,Good
211,1.14,63.7,56,0,Good
212,0.7,63.6,62,7,Good
213,1.01,63.8,60,2,Good
214,1.14,63.4,58,4,Good
215,0.73,63.7,58,5,Good
216,1.18,64.2,62,2,Good
217,1.01,63.8,60,2,Good
218,0.31,63.1,58,5,Good
219,1.5,63.6,58,5,Good
220,1.2,63.7,58,5,Good
221,0.7,63.3,58,3,Good
222,0.72,63.9,58,2,Good
223,1.51,63.6,61,2,Good
224,0.6,62.5,55,6,Ideal
225,0.32,61.7,55,3,Ideal
226,0.3,62.3,56,2,Ideal
227,0.71,60.4,56,3,Ideal
228,1.32,62.1,55,6,Ideal
229,0.71,60.5,56,2,Ideal
230,1,62.4,57,3,Ideal
231,2.15,60.9,56,2,Ideal
232,0.33,60.9,56,4,Ideal
233,0.34,61.7,55,1,Ideal
234,0.31,60.8,57,5,Ideal
235,0.3,61.6,54,4,Ideal
236,0.3,60,56,4,Ideal
237,0.91,61.7,57,7,Ideal
238,0.31,62.4,57,2,Ideal
239,0.3,61.1,55,3,Ideal
240,1.2,61.9,57,5,Ideal
241,0.53,60.8,55,5,Ideal
242,1.21,60.7,56,3,Ideal
243,0.31,62,56,2,Ideal
244,0.33,60.6,55,5,Ideal
245,1.51,62.9,57,3,Ideal
246,0.3,61.5,55,5,Ideal
247,0.34,61.1,57,7,Ideal
248,0.33,61.9,55,5,Ideal
249,0.35,61.6,55.1,4,Ideal
250,0.8,62.4,56,4,Ideal
251,0.41,62.2,55,4,Ideal
252,0.43,61.5,57,2,Ideal
253,0.34,61.3,56,4,Ideal
254,0.5,61.6,57,3,Ideal
255,1.28,62.2,56,2,Ideal
256,0.64,61,56,7,Ideal
257,1.11,62.7,57,3,Ideal
258,0.93,62,56,2,Ideal
259,0.38,61,55,2,Ideal
260,0.56,62.7,55,5,Ideal
261,0.41,62.6,57,1,Ideal
262,0.3,61.4,57,2,Ideal
263,0.63,60.9,57,1,Ideal
264,1.12,60.9,57,4,Ideal
265,0.3,62.2,57,6,Ideal
266,1.53,60.6,54,4,Ideal
267,0.33,62.6,57,5,Ideal
268,0.72,61.1,57,4,Ideal
269,0.71,61.3,57,2,Ideal
270,1.01,61.6,56,5,Ideal
271,0.31,61.9,55,6,Ideal
272,0.7,61.2,55,2,Ideal
273,1.03,62.4,57,2,Ideal
274,0.37,61.4,55,1,Ideal
275,0.32,61.6,55,7,Ideal
276,2.05,61.9,57,2,Ideal
277,0.3,62.3,54,5,Ideal
278,1.21,61.2,57,5,Ideal
279,1.01,61.7,57,3,Ideal
280,0.32,61.7,56,6,Ideal
281,0.73,62.1,55.8,4,Ideal
282,0.54,61.7,57,6,Ideal
283,0.59,61.4,56,2,Ideal
284,0.71,61.2,56,1,Ideal
285,0.25,61.9,55,7,Ideal
286,0.76,60.5,56,4,Ideal
287,1.01,61.5,57,4,Ideal
288,1.04,61.1,56,3,Ideal
289,0.32,62.2,55,5,Ideal
290,0.29,62.1,54,2,Ideal
291,0.77,62.1,56,3,Ideal
292,1.11,61.7,57,3,Ideal
293,0.42,61.7,55,6,Ideal
294,0.5,61.6,57,7,Ideal
295,1.55,62.1,56,6,Ideal
296,0.3,61.9,57,2,Ideal
297,0.51,60.2,56,4,Ideal
298,0.55,61.9,56,4,Ideal
299,0.31,61.7,55,5,Ideal
300,0.7,61.1,56,4,Ideal
301,0.56,61.8,56,6,Ideal
302,0.33,61,54,7,Ideal
303,2.01,62.9,54,4,Ideal
304,1.56,61.8,57,2,Ideal
305,0.32,60.9,57,2,Ideal
306,0.32,62.2,55,6,Ideal
307,0.38,61.5,57,7,Ideal
308,0.7,62.1,56,2,Ideal
309,0.25,61.2,57,6,Ideal
310,1.13,61.7,57,5,Ideal
311,1,61.5,55,7,Ideal
312,1.2,61.1,57,3,Ideal
313,0.33,62.1,57,5,Ideal
314,0.54,62.2,56,4,Ideal
315,1.28,62.7,53,4,Ideal
316,0.41,62.4,55,2,Ideal
317,0.72,62,56,6,Ideal
318,0.82,62.4,56,2,Ideal
319,1.01,62.8,57,1,Ideal
320,0.34,61.5,56,6,Ideal
321,0.6,61.6,56,4,Ideal
322,0.39,61.9,54,1,Ideal
323,0.35,62,55,5,Ideal
324,1.57,62,56,2,Ideal
325,0.44,60.9,57,7,Ideal
326,0.26,62.1,54,4,Ideal
327,1.02,61.3,57,6,Ideal
328,1.19,61.5,55,6,Ideal
329,1.27,61.6,56.1,5,Ideal
330,0.38,62.6,56,6,Ideal
331,0.31,62.2,53,7,Ideal
332,1.2,62.9,55,7,Ideal
333,0.38,61.3,54,3,Ideal
334,0.59,62.9,56,5,Ideal
335,0.3,62.9,57,2,Ideal
336,0.59,62.2,56,7,Ideal
337,0.32,61.4,56,3,Ideal
338,1.03,61.5,57,4,Ideal
339,0.32,62.5,55,2,Ideal
340,0.5,62.7,57,4,Ideal
341,0.31,62.8,57,7,Ideal
342,1.14,61.4,57,4,Ideal
343,1.04,60.5,57,5,Ideal
344,0.4,62.1,55,2,Ideal
345,0.72,62.6,56,7,Ideal
346,0.4,62.3,57,4,Ideal
347,0.7,63.1,54,3,Ideal
348,0.74,62.3,56,4,Ideal
349,0.31,62.8,57,4,Ideal
350,0.31,62.1,55,6,Ideal
351,0.31,62.7,57,2,Ideal
352,1.54,61.2,56,4,Ideal
353,0.31,61.1,54,4,Ideal
354,0.39,60.5,56,2,Ideal
355,1.6,62.8,56,3,Ideal
356,0.31,61.4,56,5,Ideal
357,0.79,61.4,56,2,Ideal
358,0.31,61.2,56,6,Ideal
359,0.3,62.5,54,1,Ideal
360,0.4,61.3,56,6,Ideal
361,0.56,61.5,57,5,Ideal
362,1.09,62.4,55,5,Ideal
363,1.54,62,57,4,Ideal
364,1.39,61.5,55,5,Ideal
365,0.51,62.4,55,1,Ideal
366,0.4,61.6,56,4,Ideal
367,0.31,61.1,56,6,Ideal
368,0.36,61.7,56,1,Ideal
369,0.33,61.9,55,6,Ideal
370,1.01,61.2,57,3,Ideal
371,0.38,62.4,53.2,6,Ideal
372,0.32,61.5,54,2,Ideal
373,0.51,61.6,56,5,Ideal
374,0.33,61.6,53,1,Ideal
375,1.11,62.1,55,6,Ideal
376,0.56,61.8,54,2,Ideal
377,0.4,62.2,55,2,Ideal
378,1.01,61,57,7,Ideal
379,0.3,62.3,52.8,1,Ideal
380,0.53,61.6,55,4,Ideal
381,0.97,61.7,56,2,Ideal
382,0.33,60.7,57,5,Ideal
383,1.2,62.2,55,5,Ideal
384,1,62.7,57,2,Ideal
385,0.73,62.3,56,4,Ideal
386,0.55,62.4,55,7,Ideal
387,1.02,62.2,56,2,Ideal
388,1.31,62.3,56,3,Ideal
389,0.55,62.1,55,2,Ideal
390,0.91,62.3,56,2,Ideal
391,0.42,62.4,55,5,Ideal
392,0.31,61.7,56,4,Ideal
393,0.54,61.8,54,3,Ideal
394,0.9,61.5,56,3,Ideal
395,1.02,60.7,57,3,Ideal
396,0.4,61.3,55,4,Ideal
397,0.43,62,57,6,Ideal
398,0.32,62,55,7,Ideal
399,1.61,62.2,56,5,Ideal
400,2.3,61.6,56,3,Ideal
401,0.34,62.3,57,2,Ideal
402,0.41,61.6,54,4,Ideal
403,1.2,61.7,56,4,Ideal
404,0.5,61.4,55,5,Ideal
405,1.6,61.7,56,3,Ideal
406,0.53,60.8,56,2,Ideal
407,1.22,61.5,56,4,Ideal
408,0.85,63,56,2,Ideal
409,1.02,61.6,55,3,Ideal
410,0.8,62,57,2,Ideal
411,1.01,62.7,57,3,Ideal
412,1.25,62.5,56,5,Ideal
413,1.14,61.7,53,4,Ideal
414,0.5,62.9,57,3,Ideal
415,0.9,61.1,56,2,Ideal
416,1.07,62.8,54,7,Ideal
417,0.36,60,56,5,Ideal
418,2,62.4,55,5,Ideal
419,1.65,60.4,60,2,Premium
420,1.53,62.7,60,3,Premium
421,1.21,62.7,59,3,Premium
422,0.32,60.1,61,5,Premium
423,0.82,61.1,60,2,Premium
424,0.57,59.8,59,5,Premium
425,0.51,60.5,59,2,Premium
426,0.51,62.2,58,2,Premium
427,1.13,61.4,59,3,Premium
428,1.37,60.9,59,5,Premium
429,0.34,62.6,59,5,Premium
430,2.02,60.8,62,5,Premium
431,1.38,60.2,60,3,Premium
432,0.76,60.1,59,5,Premium
433,0.37,58.4,59,4,Premium
434,2.04,60.3,60,3,Premium
435,1.5,58.9,60,3,Premium
436,1.3,59.9,59,2,Premium
437,1,62.5,59,3,Premium
438,0.77,61.9,59,3,Premium
439,0.33,62.3,59,2,Premium
440,0.52,61.7,58,4,Premium
441,1.62,61.7,59,4,Premium
442,1,60.1,61,2,Premium
443,0.38,61.3,59,2,Premium
444,0.71,61.4,58,2,Premium
445,0.55,60.3,62,5,Premium
446,2.8,61.1,59,3,Premium
447,0.32,59.9,58,7,Premium
448,0.5,61.3,59,5,Premium
449,2.01,61.6,58,3,Premium
450,1.54,59.3,59,5,Premium
451,0.41,62.4,58,5,Premium
452,0.5,61.4,59,5,Premium
453,0.5,62.3,58,2,Premium
454,0.32,60.2,60,7,Premium
455,0.73,61.7,58,2,Premium
456,0.69,61,60,5,Premium
457,1.21,60.3,60,5,Premium
458,0.95,62.8,59,2,Premium
459,0.93,62.3,58,2,Premium
460,0.3,61.1,61,6,Premium
461,1.53,62.9,59,2,Premium
462,0.38,60.9,60,5,Premium
463,0.33,60.1,59,2,Premium
464,1.04,61,58,2,Premium
465,0.33,61,59,7,Premium
466,0.7,62.1,59,2,Premium
467,0.33,61,58,7,Premium
468,2.01,61.5,62,4,Premium
469,1.01,58.5,59,7,Premium
470,0.41,60.2,59,4,Premium
471,1.25,62,59,5,Premium
472,0.72,59.1,61,3,Premium
473,0.5,61.8,58,5,Premium
474,1.33,61.5,58,4,Premium
475,1.01,61.6,59,5,Premium
476,0.32,62.3,60,5,Premium
477,0.95,62.6,59,7,Premium
478,1.51,62.8,60,3,Premium
479,1.01,59.2,60,2,Premium
480,0.31,61.5,59,2,Premium
481,0.41,62.8,59,2,Premium
482,0.7,61.9,60,2,Premium
483,0.7,60.5,58,2,Premium
484,0.31,62.1,59,6,Premium
485,1,62.3,59,2,Premium
486,1.57,60.9,58,3,Premium
487,1.64,62.8,59,2,Premium
488,1,61.2,58,2,Premium
489,1.71,61.3,58,5,Premium
490,1.09,59.4,60,3,Premium
491,1.05,58.9,58,3,Premium
492,0.31,60.8,58,5,Premium
493,1.12,62.4,58,3,Premium
494,1.24,61.6,59,2,Premium
495,1.16,60.5,59,5,Premium
496,0.7,61.7,60,4,Premium
497,1.01,59.1,58,5,Premium
498,1.19,62.7,61,2,Premium
499,0.75,61.9,61,4,Premium
500,0.71,61.3,58,2,Premium
501,0.92,62.2,58,2,Premium
502,1.02,61.9,58,4,Premium
503,0.32,62.3,58,4,Premium
504,1.51,60.9,58,7,Premium
505,0.31,61.5,58,7,Premium
506,0.34,59.9,59,3,Premium
507,1.2,59.6,58,5,Premium
508,0.36,61.5,58,3,Premium
509,1.11,61.8,59,0,Premium
510,1.14,62.6,58,3,Premium
511,0.6,62,59,3,Premium
512,0.31,59.9,59,4,Premium
513,0.72,62.8,58,6,Premium
514,2.01,59.4,62,3,Premium
515,0.3,62.2,58,2,Premium
516,1.13,58.3,60,3,Premium
517,0.9,62.7,60,4,Premium
518,0.31,60.5,60,2,Premium
519,0.43,62.3,59,2,Premium
520,1.24,62.2,58,3,Premium
521,1.21,61,58,5,Premium
522,0.43,61,60,3,Premium
523,2.38,60.6,59,3,Premium
524,1.23,58.5,59,7,Premium
525,0.32,62.6,58,2,Premium
526,0.43,59.9,58,4,Premium
527,0.31,61.1,59,4,Premium
528,0.37,63,58,5,Premium
529,0.3,62.6,58,5,Premium
530,0.28,61.3,60,6,Premium
531,2.75,60.5,61,3,Premium
532,1.6,62.1,60,2,Premium
533,0.31,60.6,59,6,Premium
534,0.73,60,58,4,Premium
535,0.42,59.9,61,4,Premium
536,1.22,61.2,58,5,Premium
537,1.22,62.6,58,2,Premium
538,1.53,60.7,60,3,Premium
539,0.31,60.6,60,7,Premium
540,1.28,60.8,60,4,Premium
541,2.05,60,58,3,Premium
542,0.71,62.4,58,4,Premium
543,1.52,60.4,59,2,Premium
544,1.71,61.4,60,5,Premium
545,1.3,62.5,58,4,Premium
546,2.01,60.1,59,2,Premium
547,0.31,61.3,59,5,Premium
548,1.01,62.5,62,3,Premium
549,0.33,62.2,59,2,Premium
550,0.54,58.8,61,1,Premium
551,0.32,61,61,5,Premium
552,0.31,61.2,59,6,Premium
553,0.9,58,61,5,Premium
554,0.7,58.4,61,3,Premium
555,1.32,60.9,59,5,Premium
556,0.53,60,58,2,Premium
557,0.94,62.5,58,5,Premium
558,0.3,60,60,2,Premium
559,0.41,61,59,7,Premium
560,1.01,59.8,58,0,Premium
561,0.56,60.8,60,2,Premium
562,1,59.9,60,7,Premium
563,0.95,58.8,60,3,Premium
564,0.42,62.7,59,2,Premium
565,0.32,61.7,58,4,Premium
566,0.33,60.1,58,6,Premium
567,1.01,62.7,59,2,Premium
568,0.31,62.4,58,4,Premium
569,0.9,59.5,58,5,Premium
570,0.51,61.5,58,5,Premium
571,0.31,62.3,59,4,Premium
572,0.92,59.4,60,3,Premium
573,2.38,60.9,59,4,Premium
574,1.13,58.6,59,4,Premium
575,0.31,60.7,61,5,Premium
576,0.4,60.9,60,2,Premium
577,1.5,59.2,62,2,Premium
578,0.36,61.4,58,2,Premium
579,0.31,60.3,59,3,Premium
580,0.5,62.4,58,2,Premium
581,0.36,61.1,59,2,Premium
582,0.32,61.6,58,1,Premium
583,0.72,60.7,60,7,Premium
584,2.06,61,61,3,Premium
585,0.81,60.8,59,2,Premium
586,1.11,61.5,58,3,Premium
587,2.33,59.9,59,2,Premium
588,1.27,60.9,59,2,Premium
589,0.31,59.5,59,4,Premium
590,1.5,62.6,59,3,Premium
591,0.91,62.2,60,2,Premium
592,0.34,59.3,60,2,Premium
593,1.02,62,59,3,Premium
594,0.77,60.8,59,2,Premium
595,1.15,62.6,58,2,Premium
596,2.1,61.3,58,6,Premium
597,0.57,60.7,59,3,Premium
598,1.5,60.6,61,5,Premium
599,1.53,61.3,59,2,Premium
